Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Skill_React,Skill_NodeJS,Skill_Python,Skill_MongoDB
20,67,0,0,0,6,67,0,1,1,2,0,1,2,2,1,0,2,0,66,2,4,4,1
23,76,2,2,1,7,57,0,1,1,2,2,1,0,3,0,1,1,0,66,5,2,4,1
21,74,2,0,1,6,61,1,0,0,1,2,0,2,4,0,1,2,1,65,4,5,3,2
28,92,1,2,0,10,69,2,1,4,1,2,1,1,4,0,1,1,0,71,2,5,4,1
21,80,2,0,0,7,75,0,1,3,2,0,0,1,2,0,1,0,1,69,2,4,5,1
17,65,1,1,1,5,55,2,1,2,1,2,1,2,3,0,1,2,0,61,4,3,5,2
21,90,0,2,1,7,55,0,1,1,1,0,1,1,4,0,1,2,0,70,3,4,1,1
23,76,2,2,0,8,84,0,1,2,0,2,1,2,4,0,0,2,0,70,1,5,2,1
20,71,2,2,0,7,70,0,1,0,0,0,1,0,4,0,1,2,0,65,3,1,4,3
20,75,2,1,1,6,59,2,1,2,2,2,1,0,1,0,2,1,1,64,5,1,5,1
16,80,0,0,1,9,62,1,1,0,0,2,1,1,4,0,2,2,0,68,4,2,2,1
16,74,1,2,1,9,86,1,1,1,1,2,0,1,2,0,1,2,0,63,3,2,2,3
12,70,2,0,0,5,53,2,1,2,1,2,0,2,3,0,0,2,1,63,2,1,1,2
30,76,2,2,1,6,75,1,1,3,0,2,1,2,3,0,0,2,0,71,5,5,2,1
13,61,0,1,0,7,68,1,0,1,2,2,1,1,2,0,1,2,1,58,5,2,2,5
16,91,2,2,1,6,91,2,1,1,2,2,1,1,2,0,1,1,0,68,3,4,3,2
16,67,2,0,0,8,90,0,1,1,0,1,1,1,4,0,1,2,1,65,3,4,1,2
25,62,2,2,0,10,84,1,1,2,1,2,1,2,3,0,0,2,0,65,4,5,1,1
18,86,0,1,1,6,69,1,1,2,2,0,1,2,2,0,1,2,1,68,1,2,4,3
27,91,1,0,1,9,82,2,1,0,1,1,1,1,1,0,1,0,1,69,3,4,2,2
16,93,2,2,1,5,82,1,1,5,0,2,1,2,1,0,1,2,1,71,3,2,4,3
22,80,1,2,0,8,67,1,1,2,1,1,0,2,2,0,2,1,1,65,2,2,5,5
15,68,1,2,1,6,94,1,1,0,2,0,1,1,5,0,2,2,0,64,5,4,2,3
33,89,1,2,0,8,99,2,1,2,0,0,0,2,4,0,0,1,1,75,1,1,5,4
13,88,0,2,0,4,66,1,1,1,1,0,1,2,4,0,1,2,0,67,2,4,3,3
22,70,2,0,1,5,90,0,1,1,2,0,1,1,3,0,0,0,0,68,4,5,2,2
24,96,0,0,0,8,75,1,1,1,2,2,1,2,1,0,0,1,0,72,4,3,4,3
22,64,2,2,0,6,73,0,1,3,2,2,1,2,4,0,2,1,0,67,3,4,4,3
19,99,0,2,0,7,69,2,1,1,0,2,1,2,3,0,1,2,1,72,3,2,2,4
19,94,2,1,1,10,65,0,1,1,1,0,1,0,3,0,2,1,1,69,4,2,4,4
20,88,1,1,0,7,96,1,1,0,0,0,1,2,3,0,2,1,1,68,3,4,2,1
19,98,2,2,1,8,87,2,1,0,2,2,0,0,6,0,1,2,1,70,1,3,1,2
26,89,2,2,0,6,72,0,1,1,1,2,1,1,3,1,0,2,0,69,3,4,4,1
33,68,2,1,1,5,88,2,1,2,1,2,1,0,1,0,0,1,1,67,5,3,2,4
17,78,2,2,0,7,86,2,0,0,1,1,1,1,3,0,0,2,0,63,3,3,2,3
12,63,2,0,0,5,63,1,1,4,1,2,0,2,2,0,1,1,1,61,2,5,4,4
19,76,2,0,1,6,59,2,1,1,2,2,1,1,3,0,1,2,0,66,1,2,1,5
35,90,0,2,1,7,92,1,0,0,1,2,0,1,4,0,1,2,1,73,2,2,4,3
15,75,2,0,1,7,91,0,1,0,2,0,1,1,3,0,0,1,1,67,2,3,2,1
30,73,0,2,1,8,100,2,1,2,0,0,1,1,2,0,1,2,0,72,5,2,1,3
30,84,0,2,0,8,51,1,1,1,1,2,1,2,4,1,2,0,1,69,1,1,5,5
17,95,1,0,0,5,77,2,1,2,2,2,1,2,4,0,1,1,0,69,1,3,3,4
23,62,1,0,1,6,85,2,1,1,1,2,1,0,3,1,0,1,1,63,1,2,4,2
30,75,2,2,1,4,79,1,1,0,2,2,1,0,4,0,1,1,1,67,1,1,2,2
18,66,2,2,0,6,86,2,1,0,0,2,1,2,2,0,1,1,0,63,1,5,1,2
19,88,2,0,1,8,57,1,0,1,2,1,0,0,4,0,0,2,1,66,5,2,1,4
17,64,2,2,0,9,50,2,1,2,1,0,1,2,4,0,1,1,0,62,3,1,5,2
14,87,2,2,1,7,55,2,1,2,1,0,0,2,4,0,2,2,1,68,2,4,4,5
16,71,2,0,0,9,69,2,1,1,1,2,1,1,4,0,2,2,0,65,1,4,1,4
13,68,1,1,1,8,66,2,1,0,2,1,1,1,4,1,0,2,1,59,3,1,5,2
20,97,0,2,1,7,94,0,1,1,2,2,1,0,1,0,0,1,1,72,3,3,2,1
15,61,2,0,1,6,54,2,1,0,0,0,0,1,2,0,2,2,1,63,2,3,5,4
21,78,2,2,0,4,72,2,1,1,2,0,1,1,4,0,2,2,1,68,5,2,4,4
11,61,2,2,1,9,98,0,1,0,2,0,1,0,2,0,1,1,1,61,4,4,5,3
22,79,1,2,0,7,75,1,1,1,1,0,0,1,3,0,1,2,0,65,4,3,1,2
25,80,2,2,1,9,57,1,1,2,1,0,1,2,3,0,1,1,0,68,3,3,1,1
8,73,1,2,1,6,65,0,1,1,1,2,1,1,4,0,0,1,1,61,2,4,3,5
22,65,1,1,1,10,81,2,1,1,1,2,0,1,3,0,2,2,1,63,4,5,5,4
27,75,2,2,1,7,51,0,1,1,2,1,1,0,2,0,2,2,1,67,3,3,2,5
13,87,1,2,1,6,98,1,1,0,0,0,1,2,3,1,2,1,1,66,5,1,4,5
30,91,2,2,1,7,78,0,1,3,2,2,0,2,2,0,2,2,1,75,4,2,3,5
23,81,2,2,0,7,85,1,1,0,2,2,1,2,4,0,1,2,1,68,3,3,5,3
16,84,1,2,0,7,75,0,1,2,2,2,1,0,3,0,1,2,0,65,3,3,2,5
20,68,1,2,0,6,98,0,1,0,1,0,1,0,4,0,1,2,0,64,1,5,3,2
23,71,0,2,1,4,79,2,0,2,1,2,1,2,3,0,1,2,1,67,5,1,1,2
20,66,1,2,1,6,83,2,1,2,1,2,0,1,3,0,0,2,1,64,1,2,4,1
23,70,2,0,1,9,93,2,1,0,1,0,1,1,2,1,2,1,0,67,2,3,5,1
14,69,2,0,1,6,93,1,0,2,1,2,0,1,0,0,1,2,1,63,1,2,2,5
21,81,0,2,1,4,51,2,1,0,2,2,0,2,2,0,0,1,0,67,1,4,1,5
12,83,0,1,1,5,64,2,1,1,0,2,0,0,2,0,2,2,0,65,4,3,3,3
19,98,0,1,1,7,62,0,1,1,1,0,1,1,2,0,1,2,0,70,3,3,4,5
15,68,2,2,1,6,50,0,1,2,0,1,1,1,3,0,1,1,1,62,5,4,3,5
16,86,0,2,1,7,94,2,1,2,1,0,1,1,3,0,1,1,0,69,1,5,3,5
27,93,2,1,1,6,66,2,1,2,2,2,1,0,3,0,0,1,0,70,5,3,2,4
27,82,2,2,1,9,67,1,1,1,1,0,0,1,2,0,1,1,1,68,1,2,1,4
24,70,2,0,0,8,55,2,1,4,1,0,1,2,4,0,2,1,0,68,2,1,5,3
13,71,2,2,1,10,99,2,1,0,1,2,1,1,3,0,2,2,1,64,1,2,2,3
18,62,1,0,1,6,91,0,0,4,1,2,0,1,1,0,1,1,1,63,4,5,4,2
27,72,1,1,1,7,79,2,1,2,0,0,1,2,2,0,2,1,0,68,3,1,3,3
21,90,0,1,1,9,89,1,1,1,1,1,1,1,2,0,1,0,0,67,2,2,4,2
34,62,0,1,0,8,89,1,1,3,1,2,0,1,4,0,0,1,0,68,1,2,2,5
22,69,2,0,1,6,83,2,1,1,1,2,1,2,2,0,0,1,0,66,5,4,2,3
21,88,2,2,1,8,59,1,0,2,2,2,0,0,1,0,2,2,1,67,2,5,5,3
18,91,0,2,0,8,86,0,1,1,2,2,1,1,4,1,1,1,1,69,2,4,3,3
21,78,0,2,1,4,78,2,1,2,0,2,0,0,3,0,1,0,1,68,1,1,2,2
19,88,2,0,0,6,86,2,1,4,2,2,1,2,3,1,0,1,1,70,2,4,4,2
24,76,2,2,0,7,77,2,1,3,2,2,0,0,4,0,2,1,0,68,5,5,5,1
26,66,1,2,1,9,98,2,1,2,1,2,1,1,2,0,0,2,1,66,2,3,4,2
15,76,2,0,1,8,81,2,1,2,1,2,0,1,4,0,2,1,0,67,5,3,3,2
12,83,2,2,0,6,79,2,1,1,0,1,1,1,4,0,1,1,0,65,1,1,5,4
9,98,2,2,0,6,92,2,1,0,2,2,1,1,5,0,1,1,1,67,3,3,5,3
23,63,2,2,0,8,69,0,1,2,2,1,1,0,4,1,1,2,1,63,2,4,5,2
13,80,1,0,1,4,66,0,1,2,1,2,1,0,2,0,1,1,0,64,3,1,1,3
7,73,0,2,1,6,75,2,1,3,1,2,1,1,3,0,0,2,0,64,5,5,5,3
22,80,1,1,0,9,79,0,1,0,2,2,0,1,3,0,0,1,0,66,2,1,4,4
35,61,2,0,1,7,61,1,1,2,2,2,0,2,4,1,1,2,1,68,4,1,4,3
20,73,0,2,1,6,84,0,1,0,2,2,1,2,3,0,1,1,1,67,3,2,3,2
25,93,2,0,0,5,90,1,1,1,2,2,1,2,2,0,0,2,1,72,2,2,2,3
20,82,2,2,1,8,79,1,1,1,1,2,1,2,4,0,1,2,1,67,3,1,2,1
19,78,2,2,0,7,76,0,1,2,2,1,1,1,3,0,0,1,0,66,2,3,1,1
26,71,0,1,0,7,65,2,1,1,1,2,1,2,3,0,0,2,0,66,1,2,5,4
18,72,0,0,1,8,95,2,1,1,2,2,1,0,4,0,1,1,1,67,3,5,1,2
22,75,2,2,0,7,88,1,1,0,1,2,0,1,3,0,2,0,1,65,4,4,3,4
22,93,0,2,0,7,74,1,1,2,2,0,1,0,3,0,0,0,1,70,4,2,3,1
16,99,1,2,1,5,83,1,1,0,1,0,0,1,4,0,2,2,0,69,5,1,2,2
26,78,0,0,1,5,67,1,1,1,0,0,0,0,3,0,1,1,1,69,2,3,3,3
19,76,0,2,1,8,53,2,1,1,2,2,1,0,4,0,0,2,0,66,3,4,5,2
15,94,2,1,0,8,60,2,1,2,2,2,1,1,4,0,1,0,1,66,5,2,4,5
23,77,0,0,1,8,54,2,1,1,1,2,1,0,3,0,0,1,0,67,3,3,3,2
15,82,2,0,1,6,75,2,1,1,2,1,1,2,3,0,1,2,1,67,2,3,1,3
20,69,2,2,1,8,81,0,1,2,2,2,1,2,4,0,1,2,1,67,4,3,5,5
20,90,0,0,1,6,69,2,1,2,0,0,1,1,3,0,1,2,0,72,1,1,3,4
27,81,2,1,1,9,77,1,1,1,2,0,1,1,4,0,0,1,0,68,4,5,3,2
23,92,2,1,1,6,54,0,1,3,2,2,1,2,2,1,2,2,1,70,5,3,5,4
20,91,2,2,1,6,88,2,1,1,1,2,1,2,4,0,1,1,1,69,1,4,3,2
25,69,0,1,1,7,52,0,1,1,1,2,1,2,4,0,1,1,1,65,5,2,4,1
28,89,0,0,0,8,82,2,1,0,2,2,1,0,3,0,2,0,1,72,2,4,2,1
23,92,2,0,0,7,72,2,1,0,1,2,1,1,4,0,0,0,0,69,1,1,5,3
20,74,2,2,1,7,59,1,1,5,0,2,1,2,4,0,1,2,0,68,5,1,1,1
12,67,0,0,0,6,76,0,1,1,1,2,1,0,2,0,1,1,1,62,2,4,3,5
14,60,2,1,1,7,89,1,1,2,2,2,1,1,3,0,1,1,1,60,4,5,2,5
18,78,0,2,1,7,71,1,1,3,2,2,1,1,4,0,1,1,1,67,2,1,1,2
16,74,0,0,1,6,68,1,1,2,2,2,1,1,4,0,0,2,1,67,3,1,1,4
19,82,2,0,1,7,57,2,1,1,2,2,1,1,3,0,1,2,1,67,2,4,4,5
20,68,2,2,1,7,80,1,1,0,1,2,0,1,4,0,1,2,0,63,2,1,2,2
23,94,2,1,1,10,91,0,1,1,2,2,1,1,3,0,1,2,1,71,3,5,5,4
20,70,2,2,1,6,78,0,1,0,2,2,0,2,2,0,0,2,0,66,5,5,2,1
23,69,2,2,1,6,58,0,1,0,2,2,1,1,1,0,2,2,0,65,5,5,2,2
20,79,0,2,1,7,83,0,1,2,2,2,1,2,2,0,1,1,0,69,2,2,1,4
8,80,0,1,0,6,52,0,1,2,2,2,1,2,1,0,1,2,0,63,3,5,4,3
14,69,2,2,1,5,92,0,1,3,1,1,1,0,2,0,2,1,0,64,3,5,4,3
19,71,0,0,0,5,96,0,1,2,1,2,0,1,0,1,0,2,0,67,4,2,2,5
13,67,2,2,1,6,80,0,1,1,1,0,1,0,2,0,1,1,1,62,5,3,2,4
24,89,2,1,1,6,94,1,1,2,2,2,1,1,2,0,1,0,1,68,1,1,3,3
29,91,2,0,0,5,54,1,1,2,1,2,1,1,3,0,2,1,1,71,5,5,1,5
27,78,0,2,0,7,61,2,0,1,1,2,1,0,3,0,1,1,0,66,5,1,5,2
19,89,2,0,1,4,66,1,1,1,1,2,1,2,1,0,2,2,0,69,4,4,5,2
29,89,2,1,1,8,89,1,1,1,2,0,0,1,4,0,1,1,1,71,1,1,4,4
21,66,2,2,1,6,74,2,1,2,2,0,0,1,4,0,1,2,0,66,4,2,1,4
18,99,2,2,0,6,67,2,1,5,1,2,1,2,3,0,2,2,0,72,1,1,4,4
16,93,2,2,1,8,58,2,1,1,0,0,1,2,4,0,0,2,0,70,2,1,5,4
18,68,1,2,0,8,91,0,1,1,1,0,0,1,3,0,2,2,0,65,1,1,2,3
18,67,0,2,0,6,51,2,1,0,2,0,1,2,2,0,0,2,0,64,4,3,1,3
21,65,2,2,1,8,67,2,1,1,1,2,1,2,2,0,0,1,1,63,5,3,1,5
21,66,2,2,0,9,62,1,0,3,2,2,0,2,2,0,1,2,1,63,1,4,3,3
20,90,1,2,0,5,56,2,0,3,2,2,1,2,2,0,1,1,1,66,1,2,2,2
23,79,0,0,1,8,59,1,1,1,1,0,1,0,4,0,0,1,1,68,3,1,2,5
27,91,2,0,1,5,75,1,1,1,0,0,1,1,4,0,0,2,1,74,5,1,4,3
26,90,0,0,0,9,71,1,1,0,0,1,0,0,2,0,0,2,0,71,2,1,1,4
11,84,0,2,1,6,76,0,1,3,1,0,1,0,3,0,1,1,0,67,4,1,4,3
5,87,0,1,0,6,86,2,1,2,2,0,1,2,3,0,2,2,0,66,2,3,2,1
26,61,0,2,1,9,95,2,1,0,2,2,0,0,6,0,0,2,1,67,5,4,3,5
12,72,1,0,1,8,56,0,1,3,1,2,1,2,1,1,1,1,1,62,1,5,1,3
19,86,2,1,0,6,54,1,1,1,0,0,0,2,5,0,2,2,1,68,1,2,2,3
13,60,2,2,1,7,66,2,1,2,1,2,1,2,3,0,2,2,1,62,5,1,3,2
9,61,0,2,1,6,77,1,0,1,0,2,0,1,2,0,1,2,1,82,1,4,5,4
23,94,0,2,0,5,55,0,1,2,2,2,1,2,2,1,1,2,1,70,1,5,2,4
25,87,0,2,0,7,86,2,1,4,2,1,0,0,2,0,0,2,1,72,1,4,5,2
17,71,1,0,1,6,78,1,1,0,2,2,1,2,4,0,0,2,0,64,4,3,4,2
4,88,2,0,0,6,87,1,1,1,2,0,1,1,4,0,0,2,1,66,4,5,5,1
17,92,2,2,1,9,68,0,1,0,2,1,0,2,3,0,0,2,0,68,3,4,2,5
22,72,1,2,0,6,70,1,1,1,0,2,1,1,3,0,2,0,1,64,2,3,5,4
11,61,1,2,1,7,90,0,1,0,2,0,1,1,3,0,1,2,0,61,5,4,1,2
21,97,2,2,1,9,63,2,1,0,2,2,1,2,1,0,1,1,1,69,5,4,2,2
20,74,0,0,0,7,69,1,1,2,0,0,0,1,2,0,0,2,1,68,5,5,3,5
23,64,2,2,0,6,51,2,1,1,2,2,1,2,5,0,0,2,1,64,3,3,5,2
21,80,2,0,0,7,78,2,1,1,1,0,0,0,4,0,1,1,0,67,4,1,1,1
14,91,2,2,1,8,93,2,1,0,2,2,1,1,3,0,1,1,1,67,3,2,4,5
27,69,2,2,0,8,51,2,1,1,0,2,1,0,2,0,1,2,1,65,5,5,4,1
19,71,0,2,1,10,81,2,1,2,2,0,1,2,3,0,1,2,0,68,2,3,5,3
20,70,2,0,1,6,92,2,1,2,2,1,1,2,3,0,1,2,1,67,1,4,4,4
14,100,1,2,0,7,75,1,1,1,1,2,1,2,3,0,2,1,1,67,4,3,3,2
17,68,2,0,1,5,66,2,1,1,0,2,1,0,4,0,1,2,1,64,4,2,2,5
15,83,0,0,1,8,100,2,1,0,2,2,1,2,3,0,0,2,0,70,3,2,1,1
19,97,2,0,0,7,53,2,1,2,1,1,0,1,3,0,0,1,1,69,4,1,5,4
30,66,2,0,0,7,61,1,1,0,0,0,0,2,2,0,1,0,1,66,5,1,4,4
12,99,1,2,0,6,94,2,1,2,2,2,1,1,3,0,2,1,1,69,5,2,2,2
10,98,1,2,1,6,65,2,1,1,1,0,0,2,2,0,1,2,1,66,3,5,3,4
29,95,0,2,1,7,91,1,1,1,1,2,1,1,3,0,1,1,0,73,5,5,4,2
19,69,2,2,1,6,67,2,0,4,0,0,0,2,4,0,2,1,1,66,2,4,4,3
16,85,2,0,1,7,91,0,1,0,2,2,1,1,2,0,2,1,1,69,3,1,1,2
26,90,2,1,1,7,84,1,1,1,2,2,1,2,3,0,1,1,1,70,2,4,3,1
16,99,0,2,1,5,73,0,1,1,2,2,0,2,5,1,0,0,1,71,1,1,3,4
31,67,1,0,1,5,76,2,1,2,2,0,1,2,4,0,0,2,1,70,2,2,5,4
24,91,0,1,1,6,59,2,1,0,1,2,0,1,4,0,1,2,1,69,1,5,1,4
17,74,2,2,0,9,56,2,1,1,2,0,0,0,3,0,1,1,1,63,1,5,5,2
33,67,0,2,1,6,86,2,1,4,2,0,1,2,3,1,1,2,0,71,2,2,1,5
16,77,0,0,0,7,92,1,1,2,2,2,1,0,2,0,0,2,1,67,3,4,3,2
24,92,2,2,1,5,86,0,1,3,2,0,1,1,2,0,1,2,0,73,5,4,1,1
22,79,1,0,1,6,96,2,1,1,0,2,1,1,2,0,0,1,1,68,5,3,1,2
28,82,1,2,1,5,95,2,1,0,0,1,1,1,3,0,1,2,1,69,1,1,1,4
29,100,0,0,1,8,89,2,1,2,2,2,0,1,3,0,1,1,0,76,1,4,2,3
20,76,1,2,1,5,95,2,1,4,1,0,1,2,3,0,1,2,1,68,3,2,2,1
15,85,2,2,0,8,58,0,1,1,1,2,0,0,3,0,0,2,1,65,4,4,3,3
23,75,2,2,1,8,87,1,1,0,0,1,1,2,1,0,1,2,0,66,2,5,1,1
16,76,2,1,0,7,88,0,1,0,1,2,1,2,2,0,2,2,1,65,1,1,3,1
32,88,1,2,0,8,58,1,1,3,1,0,0,0,3,0,1,1,1,69,5,3,2,4
21,98,0,2,1,10,95,2,1,0,2,2,1,1,1,0,1,2,1,71,3,1,1,2
18,82,0,1,1,8,50,2,1,1,0,2,1,2,3,0,1,1,1,66,2,5,5,4
21,91,2,0,0,5,72,2,1,3,1,2,1,0,3,1,1,2,0,69,3,5,2,4
12,64,2,2,0,9,51,1,0,2,1,2,1,1,4,0,0,2,1,59,2,5,2,4
14,68,2,0,0,7,76,2,1,2,0,2,1,2,3,0,1,2,1,65,2,5,2,3
27,80,0,0,0,10,71,0,1,4,1,1,1,1,2,0,0,2,1,72,1,2,1,1
16,61,2,1,1,6,81,2,1,0,2,2,1,0,2,0,0,2,1,60,3,3,4,5
14,70,2,2,1,9,88,1,1,0,0,2,0,2,4,0,0,1,0,64,3,5,5,2
23,81,2,2,0,7,88,1,1,1,1,2,1,2,4,0,2,2,1,69,5,5,5,4
27,61,0,0,1,10,86,2,1,3,2,0,0,2,3,0,1,2,0,70,5,4,3,1
24,71,2,0,1,7,55,1,1,2,0,2,1,2,3,0,0,0,1,67,1,3,1,2
26,81,2,2,0,10,71,1,1,0,2,2,0,2,5,1,1,2,0,67,1,1,2,5
15,83,2,1,1,8,91,2,1,0,1,2,0,1,3,0,0,0,1,64,4,3,4,5
11,97,2,2,1,8,83,1,1,4,2,0,0,0,2,0,1,0,1,68,5,3,1,4
29,86,2,0,0,10,84,1,1,1,1,0,0,2,4,0,1,2,0,72,2,3,1,5
18,77,2,0,1,6,61,2,1,1,1,2,0,1,3,0,1,2,0,65,3,5,4,5
18,97,2,0,0,8,66,1,1,2,2,2,1,1,2,0,0,1,1,70,1,5,2,2
28,91,0,2,0,7,98,1,1,2,1,2,0,2,5,0,2,2,1,75,3,2,1,2
23,68,1,1,1,7,92,2,0,3,1,0,0,1,4,0,1,2,1,65,3,1,5,4
23,65,2,0,1,7,58,1,1,1,1,2,1,1,3,1,0,1,0,63,4,4,5,1
33,87,2,0,0,8,77,1,1,0,1,2,0,2,3,1,1,2,1,71,5,3,4,4
16,82,2,1,1,8,75,2,1,2,2,2,1,2,2,0,0,2,0,66,1,1,2,3
26,92,2,1,1,6,72,2,1,1,1,2,0,1,3,0,1,1,0,69,3,1,4,5
20,90,0,2,0,7,74,1,0,0,0,1,0,2,3,0,2,1,0,68,1,2,1,1
22,85,2,0,0,4,82,2,1,1,2,0,1,2,2,0,2,2,1,71,2,4,5,2
29,99,0,2,1,8,98,0,0,5,1,1,1,1,2,0,2,2,1,77,4,3,3,3
23,81,0,1,1,10,94,0,1,1,2,0,1,1,2,0,0,2,0,70,2,4,4,3
23,65,2,2,0,7,94,2,1,1,0,2,1,0,3,0,0,2,0,66,1,2,3,5
26,93,0,2,0,5,85,1,1,1,0,0,1,2,3,0,0,1,0,73,1,5,3,2
18,70,2,2,1,8,51,2,1,1,1,2,0,0,3,0,0,1,1,62,5,1,5,1
15,91,2,2,0,6,72,1,1,0,2,2,1,1,2,0,1,1,0,65,3,3,4,2
14,98,0,0,1,7,76,2,1,0,1,2,1,1,2,0,2,2,1,71,3,5,3,5
8,88,2,2,1,8,92,0,1,1,1,2,1,0,4,0,0,2,1,66,2,2,1,3
32,84,1,2,1,8,96,2,1,1,1,2,1,2,3,0,1,2,0,72,4,4,2,5
13,78,2,2,1,9,73,2,1,0,2,0,0,0,4,0,1,2,1,64,3,1,2,4
19,75,2,2,0,7,65,1,1,0,1,1,0,1,4,0,1,2,0,63,5,3,5,3
18,74,1,2,1,7,67,1,1,0,1,2,1,2,3,0,1,2,1,63,2,5,4,5
22,85,0,2,0,8,79,0,1,5,2,0,1,1,2,0,1,2,0,72,2,5,4,1
25,90,2,2,1,7,64,2,1,2,2,0,1,2,2,0,1,1,1,71,5,1,2,1
25,87,0,0,1,6,96,1,0,3,2,2,1,2,2,0,1,1,0,72,4,4,1,1
17,68,2,0,1,8,71,2,1,1,2,0,0,1,2,0,1,2,1,65,5,2,2,4
19,80,2,2,1,5,100,2,1,0,2,2,1,1,3,0,1,2,0,67,4,4,2,2
22,92,1,0,1,7,55,1,1,1,1,2,1,2,4,0,1,1,0,68,5,4,4,1
19,79,2,0,1,5,59,2,1,2,1,2,0,1,2,0,2,0,1,66,5,4,3,4
30,81,2,0,0,6,76,2,1,0,0,2,1,2,3,0,2,2,1,72,1,1,1,1
23,91,0,2,0,6,93,2,1,3,1,1,1,1,3,0,1,1,0,71,2,1,4,4
24,86,2,0,0,6,68,1,1,3,1,0,1,2,3,1,0,1,0,70,5,2,2,1
24,76,2,2,0,9,92,2,1,1,2,1,1,1,3,0,2,2,0,68,5,4,3,2
27,96,2,0,0,9,71,1,1,0,1,2,0,2,4,0,0,2,0,72,3,1,1,5
21,67,1,2,1,9,93,0,1,1,1,0,1,1,3,0,0,2,1,66,2,2,5,1
12,100,2,2,0,7,64,2,1,1,2,0,1,2,6,0,1,2,1,69,3,2,1,5
22,65,1,2,1,6,74,0,1,2,2,2,1,2,1,0,0,2,1,65,2,4,1,1
16,61,0,0,0,8,64,2,1,1,1,0,1,2,3,0,1,0,1,62,3,3,2,2
17,96,0,0,0,7,61,1,1,1,1,0,1,2,1,0,0,1,0,69,5,4,2,5
24,70,2,2,1,7,71,2,1,1,2,1,1,0,4,0,1,2,1,65,5,3,5,4
27,89,2,1,0,4,67,2,1,2,1,1,0,1,4,0,0,2,0,69,1,2,5,1
20,92,1,0,1,8,89,2,1,1,1,2,1,1,3,0,1,1,0,69,3,1,5,1
22,94,0,2,1,8,87,2,1,2,1,2,0,1,5,0,0,2,0,73,4,5,4,4
30,100,0,2,1,7,68,1,1,2,2,2,0,1,2,0,2,2,0,75,1,2,4,2
21,72,0,0,1,8,100,2,1,3,1,0,0,2,3,0,0,0,1,70,3,1,2,3
36,88,2,0,0,8,99,0,1,0,1,2,0,0,3,0,0,2,0,74,3,2,2,1
23,65,2,2,1,6,96,2,1,0,1,1,1,2,3,0,1,2,1,65,1,4,5,4
9,76,2,2,0,7,79,2,1,1,2,2,1,0,3,0,0,2,1,63,5,3,4,3
25,94,0,0,0,5,71,1,1,4,2,0,1,0,4,0,0,2,0,74,3,2,3,1
22,75,0,0,1,9,66,1,1,0,1,2,0,1,2,0,2,2,1,67,5,1,4,5
28,84,2,2,1,8,51,2,0,3,2,2,1,2,4,0,2,2,0,71,1,4,2,4
24,80,0,1,1,6,82,2,1,1,1,0,1,1,3,0,0,1,0,68,5,5,4,5
19,86,0,2,0,8,78,2,1,2,2,2,1,0,4,0,0,2,0,69,2,4,2,2
13,99,2,0,0,7,81,2,1,0,2,2,1,2,4,0,2,2,1,71,4,3,5,3
19,62,0,2,1,6,79,1,1,7,2,2,1,1,2,0,1,2,0,66,3,4,5,4
15,83,2,2,1,7,57,1,1,0,2,2,0,2,3,0,2,2,1,65,4,5,5,1
17,95,2,1,1,8,85,1,0,1,1,0,0,0,2,0,0,1,0,66,5,1,3,1
24,79,1,1,1,8,68,0,1,2,1,2,0,0,2,0,1,2,1,65,3,2,3,3
30,63,2,2,0,10,76,2,1,1,2,2,1,1,4,0,2,1,0,67,5,3,2,5
22,82,0,2,0,7,68,0,1,2,1,2,0,1,4,0,2,2,1,70,2,5,1,5
13,73,2,2,1,7,51,2,1,1,1,2,1,2,4,0,2,2,1,63,1,3,3,4
23,66,1,1,0,8,94,1,1,1,2,0,0,1,3,0,2,1,1,64,3,4,2,4
27,94,2,2,1,7,57,2,1,1,2,2,0,1,1,0,1,2,1,71,2,3,4,5
16,81,2,0,1,6,79,2,1,2,1,0,1,2,3,0,0,1,0,68,2,5,5,4
19,97,2,1,0,6,94,2,1,2,0,2,1,1,4,0,2,2,1,72,3,2,5,5
20,92,2,0,1,4,61,2,1,2,0,2,1,1,4,0,0,2,1,71,5,2,5,3
15,88,1,1,1,8,71,2,0,1,1,1,0,2,2,0,2,1,1,64,2,3,2,4
24,60,0,1,1,5,69,2,1,1,2,0,1,1,5,0,1,1,1,64,4,1,5,5
19,77,0,2,1,6,54,1,1,3,0,2,0,0,2,0,0,1,1,66,2,3,3,4
23,68,2,0,1,7,71,0,1,3,2,2,1,2,3,0,1,1,0,68,5,4,4,1
15,96,0,2,0,7,74,2,1,2,1,1,0,2,2,0,1,0,1,68,5,2,5,1
17,67,0,2,1,10,51,2,1,3,1,2,1,2,5,0,1,2,1,65,4,2,2,2
24,71,2,2,1,5,74,2,1,1,2,2,0,2,3,0,1,2,1,67,2,2,4,5
18,81,2,1,1,10,55,1,1,3,1,2,1,0,2,0,1,2,1,64,5,1,5,2
30,71,0,2,1,9,95,0,0,1,2,2,1,1,4,0,0,2,1,70,3,1,1,5
