project_id,team_id,total_commits,weekly_commits,inactive_days,overdue_tasks,bug_count,high_priority_bugs,task_completion_rate,code_quality_score,collaboration_score,overall_ci_score,progress_percentage,delay_count,risk_status
P0423,T073,99,1,21,14,28,1,31,50,64,29,62,2,High Risk
MR0369,T069,135,15,9,4,8,2,59,74,58,61,79,3,Medium Risk
MR0242,T039,114,14,6,2,6,3,69,67,69,73,71,1,Medium Risk
LR0020,T073,356,32,1,1,1,0,85,81,90,85,88,0,Low Risk
P0573,T039,456,25,10,13,19,2,33,88,35,29,32,8,High Risk
MR0538,T030,217,11,8,3,20,4,69,74,65,51,78,3,Medium Risk
P0289,T090,479,34,1,2,38,7,98,73,37,48,47,1,Low Risk
LR0659,T015,240,38,3,1,8,1,89,92,94,92,98,1,Low Risk
LR0922,T100,385,52,0,1,2,1,96,96,97,82,94,0,Low Risk
LR0633,T013,301,59,0,0,1,0,93,88,90,82,98,1,Low Risk
P1591,T041,477,49,3,11,40,9,25,83,20,89,40,9,High Risk
MR0943,T013,247,19,4,3,19,3,79,59,64,63,64,2,Medium Risk
LR0100,T093,359,28,2,1,1,1,100,85,80,93,82,1,Low Risk
P1392,T061,407,12,14,14,2,5,85,73,59,53,67,7,High Risk
LR0855,T040,450,28,2,0,5,1,85,98,100,96,83,1,Low Risk
P1740,T065,243,3,24,7,24,2,52,37,85,63,55,0,High Risk
P1730,T100,341,54,25,8,34,1,91,58,71,24,96,8,High Risk
P1919,T062,387,4,18,0,13,2,60,53,84,77,44,1,Low Risk
MR0101,T068,207,9,6,4,7,4,78,77,70,64,61,3,Medium Risk
P0371,T083,395,37,1,4,21,9,60,87,39,96,51,5,Medium Risk
MR0293,T032,247,9,7,5,9,1,79,78,54,58,66,2,Medium Risk
MR0713,T063,102,9,7,2,16,2,65,70,65,61,82,2,Medium Risk
LR0635,T028,446,49,1,1,1,0,88,88,96,81,91,1,Low Risk
MR0412,T008,150,13,7,2,20,1,80,73,67,58,67,4,Medium Risk
LR0070,T038,358,38,3,1,3,0,93,82,84,86,94,1,Low Risk
P0142,T099,106,58,0,9,21,10,42,81,99,42,90,8,High Risk
MR0356,T065,143,19,6,5,20,1,55,73,54,69,57,4,Medium Risk
P0492,T001,123,15,11,4,24,2,24,56,92,52,73,5,High Risk
P0199,T024,132,19,25,7,36,3,87,43,84,49,82,0,High Risk
P1789,T092,230,7,15,15,2,5,72,70,68,99,31,5,High Risk
LR0527,T039,492,22,0,0,6,0,90,83,87,88,96,1,Low Risk
MR0925,T012,187,15,9,4,8,4,71,74,56,66,70,1,Medium Risk
P1457,T089,495,10,10,1,2,0,85,63,48,29,97,9,Medium Risk
P0196,T031,430,50,12,4,3,9,23,100,25,96,43,0,High Risk
P0875,T046,316,20,17,13,35,1,54,89,43,63,58,2,High Risk
LR0440,T034,313,29,3,1,6,0,92,81,83,84,88,0,Low Risk
MR0824,T096,192,22,8,5,6,2,62,78,51,67,71,1,Medium Risk
P0841,T003,307,37,13,11,39,9,30,36,40,56,51,2,High Risk
P0582,T001,159,48,22,0,12,3,67,35,88,74,45,2,Medium Risk
MR0949,T037,183,13,5,4,18,3,76,72,54,73,58,1,Medium Risk
P0906,T030,490,55,12,3,2,2,30,86,83,65,98,4,Medium Risk
P0632,T056,270,9,14,1,36,0,96,45,95,29,18,0,Low Risk
LR0577,T030,277,31,1,1,6,1,88,91,80,91,99,1,Low Risk
P0163,T023,305,12,1,1,18,8,32,71,51,23,75,2,Medium Risk
LR0074,T099,324,42,2,1,3,1,100,98,95,83,92,1,Low Risk
LR0081,T012,376,46,0,1,1,1,93,84,92,82,92,1,Low Risk
P1761,T052,344,10,4,3,37,7,60,74,70,38,35,3,Medium Risk
LR0662,T067,211,59,2,1,0,0,94,95,89,91,97,0,Low Risk
P0926,T026,105,25,20,12,20,5,33,47,42,51,53,7,High Risk
P1833,T023,435,45,9,11,39,3,89,99,84,52,40,0,Medium Risk
P0548,T094,437,47,24,13,33,7,62,58,76,36,72,4,High Risk
LR0294,T041,449,31,1,1,6,1,92,96,82,91,85,0,Low Risk
P1189,T002,197,9,8,6,38,3,87,72,43,57,32,2,Medium Risk
P2000,T036,476,22,16,6,6,10,76,100,41,23,70,5,High Risk
LR0098,T066,200,29,2,0,0,1,89,86,82,92,97,1,Low Risk
P0612,T097,57,26,11,6,17,2,31,53,58,39,60,8,High Risk
LR0195,T052,425,45,2,0,2,1,100,88,83,98,86,1,Low Risk
MR0662,T032,106,22,7,2,5,1,71,58,50,75,71,3,Medium Risk
P1508,T024,102,48,7,1,1,9,34,63,83,52,95,1,Medium Risk
P1870,T021,113,57,19,2,5,4,36,70,69,25,56,10,High Risk
P0743,T045,97,46,7,5,14,0,34,97,48,80,42,10,High Risk
P0638,T024,178,50,12,15,32,7,54,48,40,97,94,8,High Risk
MR0536,T091,229,12,5,2,13,3,60,64,68,78,64,3,Medium Risk
LR0016,T009,430,29,3,0,2,1,88,85,92,84,88,0,Low Risk
MR0762,T013,203,14,7,5,5,1,77,56,67,60,81,1,Medium Risk
P1098,T066,326,17,15,2,14,8,55,99,68,50,92,2,High Risk
P1484,T020,454,55,24,12,28,8,61,61,72,51,42,8,High Risk
P0049,T039,72,39,13,6,28,1,91,64,29,82,68,9,High Risk
P1352,T048,301,60,14,4,19,3,65,100,88,65,54,6,High Risk
P0922,T062,37,56,4,3,39,10,89,33,40,91,90,5,Medium Risk
MR0563,T052,235,8,5,5,6,4,61,74,52,74,77,3,Medium Risk
P0757,T049,98,38,21,3,32,5,57,99,88,76,79,1,High Risk
LR0125,T042,314,46,3,0,7,1,95,85,96,81,97,0,Low Risk
LR0367,T067,423,49,2,1,2,0,88,100,99,81,97,1,Low Risk
P1468,T050,23,46,18,15,6,3,25,50,28,71,23,5,High Risk
MR0643,T017,119,19,7,2,18,4,60,57,65,66,56,2,Medium Risk
P1695,T063,68,45,17,6,38,9,60,58,88,27,67,2,High Risk
P1323,T064,291,32,8,5,3,8,96,93,90,56,16,6,High Risk
P1177,T069,377,3,18,6,36,0,28,98,81,59,95,1,Medium Risk
P1948,T098,313,3,23,8,27,5,51,78,24,91,93,3,High Risk
P1214,T009,352,57,21,9,27,0,94,41,54,43,89,1,High Risk
MR0934,T098,138,20,8,3,8,2,77,79,72,55,82,4,Medium Risk
LR0534,T060,368,59,0,1,2,0,92,100,84,99,95,0,Low Risk
LR0288,T062,383,55,0,0,6,0,88,97,85,86,93,0,Low Risk
LR0782,T046,203,26,0,0,4,1,91,85,90,97,96,1,Low Risk
LR0678,T092,407,43,1,1,6,0,85,80,99,82,89,0,Low Risk
P1071,T030,463,23,0,13,23,9,83,43,28,39,34,8,High Risk
MR0730,T089,161,12,8,2,10,1,75,70,63,61,63,4,Medium Risk
LR0831,T020,476,39,0,0,8,1,94,82,96,90,99,0,Low Risk
LR0442,T078,332,59,3,1,1,1,90,99,94,93,86,0,Low Risk
MR0604,T035,217,13,10,2,17,4,75,63,62,74,81,4,Medium Risk
P1715,T042,125,47,14,1,22,7,20,49,88,66,95,10,High Risk
MR0022,T057,166,10,8,4,6,4,78,68,69,76,52,4,Medium Risk
LR0197,T002,355,40,0,0,6,0,99,91,82,100,81,0,Low Risk
P1150,T026,104,47,14,8,30,5,66,65,63,26,68,8,High Risk
MR0087,T099,221,15,5,3,7,3,65,66,74,66,80,3,Medium Risk
LR0229,T037,350,44,0,0,1,0,100,84,85,98,100,0,Low Risk
LR0964,T027,242,51,1,1,0,0,89,83,89,89,100,0,Low Risk
LR0610,T097,448,44,2,0,0,0,86,92,91,97,89,1,Low Risk
P1552,T032,400,27,6,8,35,3,47,36,31,44,24,1,Medium Risk
LR0555,T092,242,36,0,1,1,1,94,92,82,94,84,1,Low Risk
P1289,T098,347,14,18,9,29,8,72,96,23,37,81,5,High Risk
MR0862,T067,224,16,5,2,10,1,55,61,50,72,58,4,Medium Risk
LR0808,T050,447,32,3,0,0,1,90,84,81,85,93,0,Low Risk
P1642,T032,463,7,6,10,0,0,31,80,96,100,22,10,High Risk
P0868,T041,160,55,4,6,32,0,53,79,85,61,80,0,Low Risk
P0927,T051,159,6,13,2,3,9,82,31,87,81,46,5,High Risk
MR0211,T093,191,25,8,5,5,1,68,78,71,63,64,3,Medium Risk
P0998,T028,302,6,23,7,1,9,59,57,88,48,71,3,High Risk
MR0021,T049,155,19,5,3,11,3,75,76,79,61,75,1,Medium Risk
P1830,T096,451,11,18,2,30,0,63,74,44,69,93,0,Low Risk
P1133,T025,133,30,2,1,2,3,37,82,46,74,56,2,Low Risk
P1341,T002,129,33,0,3,10,1,44,95,30,44,100,6,Low Risk
MR0675,T026,167,22,10,3,7,2,60,68,69,60,69,4,Medium Risk
P0211,T038,425,50,5,12,10,4,28,42,39,25,36,4,High Risk
MR0980,T052,149,8,10,3,11,4,59,63,79,79,62,3,Medium Risk
P0060,T045,444,16,2,10,10,8,91,53,56,67,42,5,High Risk
MR0671,T100,162,9,4,2,8,2,80,74,52,74,61,3,Medium Risk
LR0620,T042,497,39,1,0,3,1,89,93,97,91,84,0,Low Risk
MR0898,T097,94,13,4,4,12,3,55,56,56,77,81,2,Medium Risk
MR0947,T087,179,25,8,5,16,3,72,80,75,80,59,3,Medium Risk
P0766,T046,320,1,3,1,13,9,64,50,69,87,93,2,Low Risk
LR0103,T062,253,39,0,1,2,1,90,94,95,92,80,1,Low Risk
MR0230,T079,232,15,7,5,19,1,75,72,59,64,81,3,Medium Risk
P1079,T073,106,43,20,13,33,6,39,31,29,41,11,6,High Risk
LR0660,T016,474,25,3,0,0,0,88,94,98,90,100,1,Low Risk
MR0743,T041,155,8,10,3,6,3,67,71,71,67,62,3,Medium Risk
LR0045,T084,229,23,2,0,5,0,87,90,99,90,92,0,Low Risk
LR0067,T045,313,41,1,0,4,0,97,86,99,82,89,1,Low Risk
P0583,T006,287,50,21,4,11,9,66,39,48,77,90,7,High Risk
LR0124,T022,443,46,2,0,5,1,92,82,98,89,83,0,Low Risk
MR0529,T034,169,8,7,3,14,1,75,59,73,54,80,2,Medium Risk
MR0617,T054,103,9,6,5,15,2,65,72,80,64,66,2,Medium Risk
P0941,T014,378,50,2,10,15,10,50,39,97,43,66,8,High Risk
P1081,T095,254,45,18,8,23,4,70,52,46,50,80,2,High Risk
P0188,T005,211,7,1,5,22,4,21,94,51,52,31,10,High Risk
MR0106,T030,229,23,8,3,20,2,59,56,66,68,59,2,Medium Risk
LR0311,T022,305,34,1,1,5,0,99,81,89,82,82,0,Low Risk
LR0677,T024,361,49,1,1,7,0,95,92,93,100,84,0,Low Risk
MR0095,T042,185,13,4,2,12,3,76,73,54,70,78,4,Medium Risk
MR0820,T029,141,14,5,4,15,2,59,71,80,80,78,4,Medium Risk
P1601,T068,464,51,15,11,26,0,79,90,85,38,54,8,High Risk
MR0857,T039,196,11,8,2,8,4,58,74,72,63,81,4,Medium Risk
P0227,T054,267,45,4,14,40,8,25,38,23,36,70,10,High Risk
P1613,T024,220,39,22,14,6,5,29,71,73,73,18,6,High Risk
P0536,T098,273,51,19,12,36,3,67,88,72,49,46,2,High Risk
MR0849,T009,101,20,5,5,6,3,69,57,70,50,77,3,Medium Risk
MR0216,T036,133,12,7,4,13,4,60,68,79,63,55,4,Medium Risk
MR0127,T031,184,13,5,3,8,1,60,77,60,79,82,4,Medium Risk
P0698,T098,140,54,17,12,0,8,67,34,65,63,19,8,High Risk
MR0614,T093,225,10,9,5,15,3,58,78,66,59,75,1,Medium Risk
LR0375,T100,355,30,3,1,4,1,92,87,90,95,99,0,Low Risk
P1778,T069,144,39,19,1,1,0,38,47,100,89,29,7,Medium Risk
MR0625,T015,237,22,8,2,7,4,64,67,65,77,58,4,Medium Risk
LR0805,T019,409,31,1,0,7,1,86,90,87,83,86,1,Low Risk
P1038,T070,430,29,6,0,4,6,99,60,76,57,29,0,Low Risk
P0209,T004,62,10,9,12,39,3,56,86,43,54,48,6,High Risk
P1847,T047,380,27,24,12,40,10,94,42,63,46,71,2,High Risk
P0566,T086,399,23,18,3,40,4,81,79,26,54,53,4,High Risk
P0314,T010,324,10,20,5,14,3,23,51,40,26,23,6,High Risk
P0602,T054,139,49,18,3,28,10,98,76,100,81,72,8,High Risk
P0234,T054,440,60,13,3,6,7,55,63,100,70,41,7,High Risk
P1261,T059,360,34,19,9,1,3,33,31,62,65,20,2,High Risk
P0932,T064,419,6,1,14,29,4,43,60,34,42,69,9,High Risk
MR0221,T056,146,16,5,3,15,4,66,71,79,50,69,3,Medium Risk
P1724,T090,179,29,5,12,1,7,85,89,21,28,11,5,High Risk
P0112,T016,275,44,5,0,34,0,73,66,96,55,54,1,Low Risk
LR0705,T015,334,35,2,1,4,0,92,98,98,90,97,0,Low Risk
P1090,T036,164,11,13,5,22,2,89,87,29,23,82,7,High Risk
LR0743,T095,307,35,2,1,5,0,96,85,100,83,92,0,Low Risk
LR0029,T067,242,55,3,0,0,1,98,94,84,82,94,0,Low Risk
MR0945,T010,249,9,8,4,5,4,78,57,50,73,51,3,Medium Risk
P1744,T022,492,24,25,15,37,1,62,59,41,72,84,6,High Risk
P0473,T010,490,19,1,1,5,9,22,86,77,74,38,4,Medium Risk
LR0097,T036,431,35,3,1,6,0,91,81,97,84,87,1,Low Risk
MR0733,T032,153,8,5,4,18,2,74,65,52,50,65,4,Medium Risk
P1787,T012,396,21,12,1,40,0,68,92,33,68,34,0,Low Risk
MR0277,T086,138,15,10,4,5,2,70,71,72,51,54,3,Medium Risk
P1374,T024,378,45,11,15,3,8,71,61,75,94,70,7,High Risk
MR0704,T013,236,14,7,5,6,1,56,71,65,74,59,1,Medium Risk
P0362,T046,342,5,13,14,31,3,48,56,38,70,61,8,High Risk
P0136,T061,211,24,8,10,36,9,30,70,72,53,28,5,High Risk
P1135,T001,338,53,15,1,25,8,93,36,69,52,31,5,High Risk
P1152,T054,180,46,1,6,28,7,95,95,22,96,19,8,Medium Risk
LR0469,T088,224,52,2,1,8,1,91,80,84,86,92,0,Low Risk
P1054,T024,407,45,4,13,4,6,77,66,48,92,64,10,High Risk
MR0317,T010,238,23,10,2,11,3,74,72,62,54,52,3,Medium Risk
P0023,T006,132,46,13,11,19,1,83,50,86,90,73,5,High Risk
P1973,T061,234,26,25,0,28,2,61,70,36,22,81,8,High Risk
LR0953,T068,435,26,2,0,7,0,92,93,86,83,89,0,Low Risk
P1653,T058,213,2,18,11,11,4,65,54,24,54,59,2,High Risk
P0696,T059,211,36,23,10,21,6,81,39,93,47,99,0,High Risk
P0421,T069,200,25,18,5,12,9,26,65,54,69,10,0,High Risk
MR0950,T051,90,18,5,5,11,1,67,57,53,62,61,2,Medium Risk
P0461,T052,51,34,5,9,18,0,32,96,29,72,97,3,Medium Risk
P1068,T023,145,30,4,0,29,9,75,67,34,36,66,7,Medium Risk
P0088,T018,427,49,21,10,36,3,71,51,48,85,99,2,High Risk
P0283,T091,386,51,23,8,34,10,21,52,54,62,69,4,High Risk
LR0999,T026,243,30,0,0,7,0,100,95,84,97,80,1,Low Risk
P1314,T068,428,58,2,15,5,7,51,64,94,85,47,10,High Risk
P1408,T052,200,21,15,8,12,4,65,60,70,70,60,3,High Risk
MR0795,T022,193,8,5,5,7,4,63,68,52,59,51,4,Medium Risk
LR0113,T053,390,49,2,1,1,1,87,94,87,86,99,0,Low Risk
P0860,T028,273,1,25,12,31,7,95,36,99,90,90,3,High Risk
P0534,T100,427,45,12,14,3,8,79,67,21,25,42,8,High Risk
MR0510,T006,116,10,5,5,19,2,79,69,71,59,85,4,Medium Risk
MR0784,T093,200,12,8,2,20,2,69,75,67,68,75,1,Medium Risk
P1420,T048,402,32,3,14,40,9,91,98,37,59,94,7,High Risk
MR0396,T073,245,18,5,5,14,1,56,60,56,55,82,1,Medium Risk
MR0169,T038,202,20,8,5,5,2,59,69,51,63,55,2,Medium Risk
LR0801,T012,455,26,0,0,3,0,99,100,99,91,89,1,Low Risk
MR0372,T040,245,18,5,3,13,4,59,59,57,65,76,3,Medium Risk
MR0939,T070,143,15,7,4,12,3,71,74,65,75,71,3,Medium Risk
LR0899,T027,309,21,3,1,6,0,85,97,80,86,94,1,Low Risk
P1645,T086,219,12,20,11,8,2,65,69,98,83,65,5,High Risk
P1413,T008,458,54,8,8,13,8,92,75,58,37,49,10,High Risk
MR0909,T030,195,24,9,4,13,2,74,80,58,65,77,3,Medium Risk
LR0298,T024,295,51,0,0,7,0,99,88,89,85,96,0,Low Risk
P0943,T056,380,24,14,11,8,4,60,31,39,39,25,4,High Risk
LR0252,T011,438,26,2,0,5,1,99,93,84,88,87,0,Low Risk
MR0905,T005,224,25,8,3,19,1,57,60,71,69,52,3,Medium Risk
P1652,T074,272,59,3,10,4,7,34,50,94,49,90,1,High Risk
LR0216,T008,287,53,0,1,7,0,98,83,82,93,95,0,Low Risk
LR0247,T054,359,50,3,1,4,1,89,86,91,100,86,1,Low Risk
P0122,T059,226,38,23,10,26,0,99,78,71,76,89,6,High Risk
P0888,T026,29,37,24,11,37,5,77,99,81,52,100,6,High Risk
LR0835,T081,222,28,2,0,2,0,89,80,95,95,86,1,Low Risk
P0686,T036,134,53,12,10,25,3,84,100,71,83,31,6,High Risk
LR0959,T007,275,53,1,1,7,1,96,83,87,97,99,1,Low Risk
P0414,T036,127,10,6,10,26,2,21,99,60,51,61,8,High Risk
P0790,T016,324,8,12,12,29,1,26,52,40,100,94,2,High Risk
LR0190,T031,277,48,0,0,2,1,89,99,98,89,91,0,Low Risk
P1570,T093,116,42,13,6,8,0,33,44,98,53,35,0,Medium Risk
P1804,T036,107,14,2,6,36,10,25,70,85,36,64,5,High Risk
MR0850,T087,167,12,7,2,6,2,58,56,57,73,73,4,Medium Risk
P1393,T093,447,26,13,14,35,7,77,61,23,52,81,7,High Risk
LR0139,T074,209,20,0,1,3,1,96,91,89,82,100,1,Low Risk
P0273,T063,303,26,16,5,6,9,56,94,26,68,75,3,High Risk
LR0592,T095,423,31,0,0,4,1,90,84,100,93,81,0,Low Risk
P0522,T068,210,10,8,3,10,8,43,90,55,84,44,7,High Risk
P0523,T088,169,52,21,5,14,6,27,99,98,41,33,4,High Risk
MR0237,T007,161,21,7,3,12,4,66,77,65,78,65,2,Medium Risk
P1913,T100,469,1,6,5,18,7,44,53,20,62,34,5,High Risk
P0351,T003,368,2,12,3,19,7,56,100,37,100,13,2,Medium Risk
P1619,T037,484,50,23,0,12,1,46,84,61,63,96,2,Medium Risk
P1862,T060,44,48,2,10,2,9,87,60,27,27,50,8,High Risk
MR0107,T004,85,11,9,2,7,3,75,57,58,72,75,2,Medium Risk
P1962,T004,449,9,2,9,6,0,80,60,99,27,47,4,Medium Risk
P0652,T017,159,12,18,8,13,0,59,63,67,69,95,0,Medium Risk
LR0412,T073,421,29,1,1,8,1,93,98,93,83,86,0,Low Risk
MR0443,T030,195,12,8,5,10,1,70,68,73,66,76,4,Medium Risk
MR0701,T048,235,18,6,4,20,1,57,68,65,80,76,2,Medium Risk
P1447,T020,240,50,1,10,14,6,26,49,99,80,14,5,High Risk
P1954,T063,138,48,25,2,8,8,97,72,62,63,17,7,High Risk
MR0735,T044,184,24,7,2,19,2,55,63,55,75,76,2,Medium Risk
LR0329,T063,312,21,2,1,3,0,98,91,85,93,86,1,Low Risk
P0169,T041,243,26,3,0,6,4,57,99,68,32,27,1,Low Risk
MR0707,T070,133,14,9,5,7,1,59,72,56,77,73,4,Medium Risk
P0963,T077,363,53,22,5,1,8,58,35,61,55,73,6,High Risk
P0946,T006,227,43,6,5,21,5,38,59,72,39,48,10,High Risk
P0463,T090,364,16,15,0,10,7,82,71,31,29,18,2,Medium Risk
MR0428,T093,131,11,7,2,16,2,67,80,64,54,68,2,Medium Risk
P0329,T060,119,17,16,5,34,7,80,92,39,80,33,8,High Risk
P1658,T033,431,6,14,9,25,1,97,47,27,47,85,1,Medium Risk
LR0259,T079,426,58,1,1,6,0,100,82,84,81,94,0,Low Risk
LR0692,T091,425,47,1,0,7,0,85,96,85,91,92,0,Low Risk
LR0304,T058,374,54,0,1,6,0,98,82,94,97,89,0,Low Risk
P0368,T005,30,38,5,8,29,2,20,34,31,97,66,7,High Risk
MR0452,T027,241,20,6,4,6,3,73,68,52,54,54,1,Medium Risk
MR0015,T083,82,12,8,5,16,4,58,69,70,60,77,3,Medium Risk
LR0834,T095,309,43,3,1,3,0,86,96,80,89,99,1,Low Risk
MR0126,T044,209,8,10,4,6,3,73,80,77,52,72,1,Medium Risk
P0773,T030,52,16,20,2,40,2,67,58,60,63,17,8,High Risk
P1285,T095,242,20,16,5,11,0,33,32,49,80,78,3,Medium Risk
LR0537,T058,459,34,2,0,0,0,86,81,82,91,91,0,Low Risk
MR0579,T089,148,22,4,3,13,2,70,63,50,75,74,3,Medium Risk
MR0139,T025,194,13,5,2,17,3,76,58,77,62,74,3,Medium Risk
P0499,T086,267,55,17,7,4,2,89,74,95,88,62,6,High Risk
P1235,T002,173,9,21,2,19,3,93,82,36,21,84,8,High Risk
P1513,T040,36,26,8,0,31,10,31,95,88,74,49,10,High Risk
P0436,T021,482,55,2,0,16,1,73,38,93,68,14,0,Low Risk
P1252,T097,407,11,6,1,21,0,64,75,82,77,75,5,Low Risk
P0366,T070,21,34,10,0,37,1,69,97,90,55,74,3,Low Risk
P1367,T004,22,45,9,1,27,3,28,63,99,36,45,3,Medium Risk
P0277,T036,465,34,4,7,25,10,82,99,51,35,72,1,High Risk
LR0640,T005,258,46,3,0,5,0,88,93,86,82,90,1,Low Risk
MR0768,T018,181,11,8,3,11,2,64,73,77,64,60,4,Medium Risk
MR0440,T082,176,22,6,5,7,3,76,75,53,58,85,3,Medium Risk
P0408,T072,393,59,23,9,20,0,95,82,32,34,39,8,High Risk
P1469,T026,53,13,20,8,22,5,94,74,58,97,92,3,High Risk
MR0364,T075,236,13,9,4,7,2,73,79,57,58,79,2,Medium Risk
MR0678,T071,219,16,5,2,19,3,59,64,77,71,53,1,Medium Risk
P0845,T035,300,35,6,2,23,10,74,47,24,75,38,0,Medium Risk
P1911,T010,342,6,0,2,17,4,74,34,57,80,98,10,Medium Risk
MR0312,T063,184,22,8,5,12,3,67,69,79,63,50,2,Medium Risk
P0087,T068,124,29,1,5,5,9,83,88,79,85,87,1,Medium Risk
P1544,T005,150,39,15,7,6,7,69,98,87,43,21,3,High Risk
LR0046,T022,228,49,3,0,6,1,96,98,93,93,90,1,Low Risk
LR0072,T052,422,22,2,0,6,0,99,93,81,88,93,0,Low Risk
LR0365,T022,365,45,1,1,6,0,98,89,98,100,98,1,Low Risk
P1850,T093,201,37,3,10,32,1,47,99,91,51,91,4,Medium Risk
P0856,T003,57,59,14,15,2,8,57,90,95,81,53,10,High Risk
MR0957,T057,182,24,6,5,20,4,70,59,73,71,73,4,Medium Risk
P0079,T088,336,1,20,8,26,4,34,38,92,29,35,1,High Risk
P0945,T075,375,41,0,0,18,4,75,60,22,31,34,8,Medium Risk
P0200,T085,81,19,8,7,18,1,88,87,23,44,42,5,Medium Risk
LR0064,T034,393,22,2,0,5,0,93,93,91,95,89,0,Low Risk
P1617,T082,26,39,4,14,28,8,31,83,48,66,61,7,High Risk
P0802,T027,470,26,23,2,12,4,91,88,69,88,50,0,Medium Risk
LR0406,T032,471,39,1,1,3,1,93,91,83,81,97,1,Low Risk
LR0391,T005,427,35,1,1,2,0,87,99,89,90,82,0,Low Risk
P1984,T025,454,46,19,4,29,0,48,72,56,34,71,9,High Risk
LR0913,T033,485,22,3,1,2,1,99,87,84,83,89,0,Low Risk
P0232,T065,420,33,12,8,7,7,78,60,89,98,82,5,High Risk
P1407,T073,396,25,3,10,7,5,61,31,91,45,19,7,High Risk
LR0005,T036,239,58,1,0,7,0,91,87,100,87,92,1,Low Risk
MR0347,T095,145,16,10,2,20,3,63,64,66,79,81,4,Medium Risk
LR0651,T071,306,44,2,1,4,0,97,97,92,95,99,1,Low Risk
LR0248,T040,362,37,0,0,3,0,96,91,94,91,88,1,Low Risk
LR0427,T039,469,21,2,1,7,0,86,88,90,83,89,1,Low Risk
LR0929,T092,200,41,3,1,3,1,88,87,82,85,91,1,Low Risk
P1628,T002,386,14,6,6,30,1,77,96,49,70,99,2,Low Risk
MR0818,T071,193,17,10,3,14,4,79,60,77,60,60,1,Medium Risk
P1144,T017,205,50,15,8,37,7,90,96,71,100,54,9,High Risk
MR0560,T051,184,22,10,2,11,2,57,80,72,78,55,4,Medium Risk
P0192,T033,167,1,23,15,28,0,86,46,23,89,48,4,High Risk
P0105,T078,88,11,8,12,34,4,57,42,68,33,43,3,High Risk
LR0952,T051,316,35,2,1,3,0,98,82,83,99,83,1,Low Risk
MR0670,T060,140,14,10,5,20,3,61,63,68,67,74,2,Medium Risk
LR0669,T032,249,60,1,1,5,0,95,86,89,84,84,0,Low Risk
P1860,T100,385,30,17,8,6,0,71,93,48,22,38,0,Medium Risk
LR0475,T034,379,37,1,1,4,0,87,92,95,88,96,1,Low Risk
LR0228,T088,236,59,0,1,8,0,100,80,82,98,97,0,Low Risk
MR0429,T086,185,20,9,5,19,3,56,62,79,55,76,1,Medium Risk
MR0860,T050,202,18,4,5,17,4,63,55,55,78,83,2,Medium Risk
MR0046,T042,147,14,10,5,5,4,70,80,54,62,64,3,Medium Risk
LR0408,T027,274,44,3,0,6,0,94,95,99,80,87,0,Low Risk
LR0006,T056,432,37,1,0,6,1,99,99,96,90,94,0,Low Risk
LR0760,T052,399,50,3,1,3,1,92,91,83,80,92,1,Low Risk
MR0829,T070,170,15,9,3,12,3,72,79,62,53,68,1,Medium Risk
P1916,T046,114,7,25,6,11,1,98,99,47,38,51,9,High Risk
MR0902,T094,146,10,8,5,17,1,77,58,54,70,77,3,Medium Risk
MR0057,T044,187,20,9,3,6,2,70,75,63,72,53,4,Medium Risk
P1814,T007,197,20,3,13,6,4,21,58,43,60,55,3,High Risk
MR0399,T036,198,8,9,4,18,2,71,77,50,52,67,2,Medium Risk
P0995,T067,185,21,5,4,20,1,83,35,100,67,58,2,Low Risk
P0465,T081,288,28,10,8,17,4,39,38,96,29,85,3,High Risk
P1500,T013,480,38,16,11,36,10,35,43,89,86,22,7,High Risk
MR0790,T060,244,24,6,2,8,3,61,59,71,75,59,1,Medium Risk
MR0942,T048,198,21,4,5,14,1,76,63,69,52,57,3,Medium Risk
LR0160,T048,410,51,3,0,6,0,94,85,87,96,91,0,Low Risk
P1237,T023,30,7,10,6,6,9,38,63,81,21,36,4,High Risk
LR0413,T029,362,23,2,0,8,0,93,95,96,87,84,0,Low Risk
MR0523,T082,131,16,6,4,19,4,68,57,62,78,81,3,Medium Risk
P0213,T009,195,14,7,1,1,5,21,70,23,52,43,7,High Risk
P1037,T029,273,57,17,1,35,6,56,97,62,27,28,0,Medium Risk
MR0869,T002,86,25,5,4,5,4,70,63,71,55,65,3,Medium Risk
P0901,T020,65,43,19,2,4,10,65,60,74,62,41,3,High Risk
P1838,T063,242,6,6,15,5,4,77,58,53,95,47,6,High Risk
LR0816,T017,203,41,3,0,3,1,87,85,91,100,93,0,Low Risk
P0742,T020,52,53,9,9,0,7,92,92,55,57,22,5,High Risk
MR0706,T073,157,15,8,2,15,3,72,60,58,69,81,4,Medium Risk
MR0090,T096,171,12,6,5,11,3,67,65,75,53,75,1,Medium Risk
LR0668,T053,212,35,1,1,7,1,97,99,91,99,100,0,Low Risk
P1207,T054,140,40,9,15,4,0,44,62,82,27,70,7,High Risk
P0510,T055,275,46,15,9,8,1,30,48,29,34,77,3,High Risk
P0598,T099,328,48,3,12,30,6,91,48,45,84,69,3,High Risk
LR0997,T095,487,34,2,1,0,0,94,94,81,95,91,1,Low Risk
P0982,T079,64,32,12,1,6,1,55,69,37,47,29,8,Medium Risk
LR0795,T012,212,33,0,0,4,1,88,84,100,80,98,0,Low Risk
